icd_code	label	definition	synonym	grouped_synonym
ICD10CM:T84.7XXA	Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter		Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter	Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter
ICD10CM:I31.3	Pericardial effusion (noninflammatory)		Chylopericardium	Chylopericardium, Pericardial effusion (noninflammatory), pericardial effusion
ICD10CM:K57.30	Diverticulosis of large intestine without perforation or abscess without bleeding		Diverticular disease of colon NOS	Diverticular disease of colon NOS, Diverticulosis of large intestine without perforation or abscess without bleeding
ICD10CM:F91.9	Conduct disorder, unspecified		Behavioral disorder NOS	Behavioral disorder NOS, Conduct disorder NOS, Conduct disorder, unspecified, Disruptive behavior disorder NOS, Disruptive disorder NOS
ICD10CM:Z79.84	Long term (current) use of oral hypoglycemic drugs		Long term (current) use of oral antidiabetic drugs	Long term (current) use of oral antidiabetic drugs, Long term (current) use of oral hypoglycemic drugs
ICD10CM:Z68.39	Body mass index [BMI] 39.0-39.9, adult		Body mass index [BMI] 39.0-39.9, adult	Body mass index [BMI] 39.0-39.9, adult
ICD10CM:H93.91	Unspecified disorder of right ear		Unspecified disorder of right ear	Unspecified disorder of right ear
ICD10CM:R45.1	Restlessness and agitation		Restlessness and agitation	Restlessness and agitation
ICD10CM:R14.3	Flatulence		Flatulence	Flatulence
ICD10CM:Z11.3	Encounter for screening for infections with a predominantly sexual mode of transmission		Encounter for screening for infections with a predominantly sexual mode of transmission	Encounter for screening for infections with a predominantly sexual mode of transmission
ICD10CM:L53.9	Erythematous condition, unspecified		Erythema NOS	Erythema NOS, Erythematous condition, unspecified, Erythroderma NOS
ICD10CM:Z28.82	Immunization not carried out because of caregiver refusal		Immunization not carried out because of caregiver refusal	Immunization not carried out because of caregiver refusal, Immunization not carried out because of guardian refusal, Immunization not carried out because of parent refusal
ICD10CM:H61.302	Acquired stenosis of left external ear canal, unspecified		Acquired stenosis of left external ear canal, unspecified	Acquired stenosis of left external ear canal, unspecified
ICD10CM:R10.31	Right lower quadrant pain		Right lower quadrant pain	Right lower quadrant pain
ICD10CM:Z77.22	Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic)		Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic)	Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic), Exposure to second hand tobacco smoke (acute) (chronic), Passive smoking (acute) (chronic), contact with and, exposure to second hand tobacco smoke, passive smoking
ICD10CM:H65.493	Other chronic nonsuppurative otitis media, bilateral		Other chronic nonsuppurative otitis media, bilateral	Other chronic nonsuppurative otitis media, bilateral
ICD10CM:M79.602	Pain in left arm		Pain in left arm	Pain in left arm, Pain in left upper limb NOS
ICD10CM:Z68.33	Body mass index [BMI] 33.0-33.9, adult		Body mass index [BMI] 33.0-33.9, adult	Body mass index [BMI] 33.0-33.9, adult
ICD10CM:S83.004D	Unspecified dislocation of right patella, subsequent encounter		Unspecified dislocation of right patella, subsequent encounter	Unspecified dislocation of right patella, subsequent encounter
ICD10CM:Z01.419	Encounter for gynecological examination (general) (routine) without abnormal findings		Encounter for gynecological examination (general) (routine) without abnormal findings	Encounter for gynecological examination (general) (routine) without abnormal findings
ICD10CM:Z79.52	Long term (current) use of systemic steroids		Long term (current) use of systemic steroids	Long term (current) use of systemic steroids
ICD10CM:Z68.30	Body mass index [BMI] 30.0-30.9, adult		Body mass index [BMI] 30.0-30.9, adult	Body mass index [BMI] 30.0-30.9, adult
ICD10CM:Z87.438	Personal history of other diseases of male genital organs		Personal history of other diseases of male genital organs	Personal history of other diseases of male genital organs
ICD10CM:I45.10	Unspecified right bundle-branch block		Right bundle-branch block NOS	Right bundle-branch block NOS, Unspecified right bundle-branch block
ICD10CM:L05.91	Pilonidal cyst without abscess		Pilonidal cyst NOS	Pilonidal cyst NOS, Pilonidal cyst without abscess, Pilonidal dimple, Postanal dimple
ICD10CM:G93.89	Other specified disorders of brain		Other specified disorders of brain	Other specified disorders of brain, Postradiation encephalopathy
ICD10CM:M54.6	Pain in thoracic spine		Pain in thoracic spine	Pain in thoracic spine
ICD10CM:Y93.01	Activity, walking, marching and hiking		Activity, walking, marching and hiking	Activity, walking, marching and hiking, Activity, walking, marching and hiking on level or elevated terrain
ICD10CM:D89.89	Other specified disorders involving the immune mechanism, not elsewhere classified		Other specified disorders involving the immune mechanism, not elsewhere classified	Other specified disorders involving the immune mechanism, not elsewhere classified
ICD10CM:B00.4	Herpesviral encephalitis		Herpesviral encephalitis	Herpesviral encephalitis, Herpesviral meningoencephalitis, Simian B disease
ICD10CM:H65.22	Chronic serous otitis media, left ear		Chronic serous otitis media, left ear	Chronic serous otitis media, left ear
ICD10CM:Z68.1	Body mass index [BMI] 19.9 or less, adult		Body mass index [BMI] 19.9 or less, adult	Body mass index [BMI] 19.9 or less, adult
ICD10CM:F43.21	Adjustment disorder with depressed mood		Adjustment disorder with depressed mood	Adjustment disorder with depressed mood
ICD10CM:N63.20	Unspecified lump in the left breast, unspecified quadrant		Unspecified lump in the left breast, unspecified quadrant	Unspecified lump in the left breast, unspecified quadrant
ICD10CM:S63.91XA	Sprain of unspecified part of right wrist and hand, initial encounter		Sprain of unspecified part of right wrist and hand, initial encounter	Sprain of unspecified part of right wrist and hand, initial encounter
ICD10CM:M50.322	Other cervical disc degeneration at C5-C6 level		Other C5-C6 cervical disc degeneration	Other C5-C6 cervical disc degeneration, Other cervical disc degeneration at C5-C6 level
ICD10CM:M25.362	Other instability, left knee		Other instability, left knee	Other instability, left knee
ICD10CM:Z91.040	Latex allergy status		Latex allergy status	Latex allergy status, Latex sensitivity status
ICD10CM:M79.10	Myalgia, unspecified site		Myalgia, unspecified site	Myalgia, unspecified site
ICD10CM:H91.92	Unspecified hearing loss, left ear		Unspecified hearing loss, left ear	Unspecified hearing loss, left ear
ICD10CM:L03.317	Cellulitis of buttock		Cellulitis of buttock	Cellulitis of buttock
ICD10CM:K59.04	Chronic idiopathic constipation		Chronic idiopathic constipation	Chronic idiopathic constipation, Functional constipation
ICD10CM:R59.1	Generalized enlarged lymph nodes		Generalized enlarged lymph nodes	Generalized enlarged lymph nodes, Lymphadenopathy NOS
ICD10CM:Z80.1	Family history of malignant neoplasm of trachea, bronchus and lung		Conditions classifiable to C33-C34	Conditions classifiable to C33-C34, Family history of malignant neoplasm of trachea, bronchus and lung
ICD10CM:K65.1	Peritoneal abscess		Abdominopelvic abscess	Abdominopelvic abscess, Abscess (of) omentum, Abscess (of) peritoneum, Mesenteric abscess, Peritoneal abscess, Retrocecal abscess, Subdiaphragmatic abscess, Subhepatic abscess, Subphrenic abscess
ICD10CM:J96.01	Acute respiratory failure with hypoxia		Acute respiratory failure with hypoxia	Acute respiratory failure with hypoxia
ICD10CM:H61.303	Acquired stenosis of external ear canal, unspecified, bilateral		Acquired stenosis of external ear canal, unspecified, bilateral	Acquired stenosis of external ear canal, unspecified, bilateral
ICD10CM:J35.1	Hypertrophy of tonsils		Enlargement of tonsils	Enlargement of tonsils, Hypertrophy of tonsils
ICD10CM:H52.10	Myopia, unspecified eye		Myopia, unspecified eye	Myopia, unspecified eye
ICD10CM:M23.8X9	Other internal derangements of unspecified knee		Other internal derangements of unspecified knee	Other internal derangements of unspecified knee
ICD10CM:M17.10	Unilateral primary osteoarthritis, unspecified knee		Unilateral primary osteoarthritis, unspecified knee	Unilateral primary osteoarthritis, unspecified knee
ICD10CM:Z13.828	Encounter for screening for other musculoskeletal disorder		Encounter for screening for other musculoskeletal disorder	Encounter for screening for other musculoskeletal disorder
ICD10CM:K21.0	Gastro-esophageal reflux disease with esophagitis		Gastro-esophageal reflux disease with esophagitis	Gastro-esophageal reflux disease with esophagitis
ICD10CM:Z80.8	Family history of malignant neoplasm of other organs or systems		Conditions classifiable to C00-C14, C40-C49, C69-C79	Conditions classifiable to C00-C14, C40-C49, C69-C79, Family history of malignant neoplasm of other organs or systems
ICD10CM:L01.00	Impetigo, unspecified		Impetigo NOS	Impetigo NOS, Impetigo, unspecified
ICD10CM:T50.Z95D	Adverse effect of other vaccines and biological substances, subsequent encounter		Adverse effect of other vaccines and biological substances, subsequent encounter	Adverse effect of other vaccines and biological substances, subsequent encounter
ICD10CM:R11.10	Vomiting, unspecified		Vomiting NOS	Vomiting NOS, Vomiting, unspecified
ICD10CM:Z86.14	Personal history of Methicillin resistant Staphylococcus aureus infection		Personal history of MRSA infection	Personal history of MRSA infection, Personal history of Methicillin resistant Staphylococcus aureus infection
ICD10CM:M1A.9XX0	Chronic gout, unspecified, without tophus (tophi)		Chronic gout, unspecified, without tophus (tophi)	Chronic gout, unspecified, without tophus (tophi), chronic gout, unspecified, without tophus
ICD10CM:S76.111A	Strain of right quadriceps muscle, fascia and tendon, initial encounter		Strain of right quadriceps muscle, fascia and tendon, initial encounter	Strain of right quadriceps muscle, fascia and tendon, initial encounter
ICD10CM:Z11.52	Encounter for screening for COVID-19		Encounter for screening for COVID-19	Encounter for screening for COVID-19
ICD10CM:F98.9	Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence		Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
ICD10CM:T83.098A	Other mechanical complication of other urinary catheter, initial encounter		Other mechanical complication of other urinary catheter, initial encounter	Other mechanical complication of other urinary catheter, initial encounter
ICD10CM:Z46.89	Encounter for fitting and adjustment of other specified devices		Encounter for fitting and adjustment of other specified devices	Encounter for fitting and adjustment of other specified devices, Encounter for fitting and adjustment of wheelchair
ICD10CM:R92.2	Inconclusive mammogram		Dense breasts NOS	Dense breasts NOS, Inconclusive mammogram, Inconclusive mammogram NEC, Inconclusive mammography NEC, Inconclusive mammography due to dense breasts
ICD10CM:H93.19	Tinnitus, unspecified ear		Tinnitus, unspecified ear	Tinnitus, unspecified ear
ICD10CM:Z00.8	Encounter for other general examination		Encounter for health examination in population surveys	Encounter for health examination in population surveys, Encounter for other general examination
ICD10CM:N90.60	Unspecified hypertrophy of vulva		Unspecified hypertrophy of labia	Unspecified hypertrophy of labia, Unspecified hypertrophy of vulva
ICD10CM:R76.0	Raised antibody titer		Raised antibody titer	Raised antibody titer
ICD10CM:H10.9	Unspecified conjunctivitis		Unspecified conjunctivitis	Unspecified conjunctivitis
ICD10CM:Y93.89	Activity, other specified		Activity, other specified	Activity, other specified
ICD10CM:N64.4	Mastodynia		Mastodynia	Mastodynia
ICD10CM:H92.11	Otorrhea, right ear		Otorrhea, right ear	Otorrhea, right ear
ICD10CM:R47.1	Dysarthria and anarthria		Dysarthria and anarthria	Dysarthria and anarthria
ICD10CM:D23.70	Other benign neoplasm of skin of unspecified lower limb, including hip		Other benign neoplasm of skin of unspecified lower limb, including hip	Other benign neoplasm of skin of unspecified lower limb, including hip
ICD10CM:I35.9	Nonrheumatic aortic valve disorder, unspecified		Nonrheumatic aortic valve disorder, unspecified	Nonrheumatic aortic valve disorder, unspecified
ICD10CM:M51.37	Other intervertebral disc degeneration, lumbosacral region		Other intervertebral disc degeneration, lumbosacral region	Other intervertebral disc degeneration, lumbosacral region
ICD10CM:Z04.89	Encounter for examination and observation for other specified reasons		Encounter for examination and observation for other specified reasons	Encounter for examination and observation for other specified reasons
ICD10CM:T78.40XS	Allergy, unspecified, sequela		Allergy, unspecified, sequela	Allergy, unspecified, sequela
ICD10CM:L91.8	Other hypertrophic disorders of the skin		Other hypertrophic disorders of the skin	Other hypertrophic disorders of the skin
ICD10CM:Z78.0	Asymptomatic menopausal state		Asymptomatic menopausal state	Asymptomatic menopausal state, Menopausal state NOS, Postmenopausal status NOS
ICD10CM:F32.89	Other specified depressive episodes		Atypical depression	Atypical depression, Other specified depressive episodes, Post-schizophrenic depression, Single episode of 'masked' depression NOS
ICD10CM:Y93.9	Activity, unspecified		Activity, unspecified	Activity, unspecified
ICD10CM:Z01.84	Encounter for antibody response examination		Encounter for antibody response examination	Encounter for antibody response examination, Encounter for immunity status testing
ICD10CM:M21.619	Bunion of unspecified foot		Bunion of unspecified foot	Bunion of unspecified foot
ICD10CM:I45.5	Other specified heart block		Other specified heart block	Other specified heart block, Sinoatrial block, Sinoauricular block
ICD10CM:S89.91XA	Unspecified injury of right lower leg, initial encounter		Unspecified injury of right lower leg, initial encounter	Unspecified injury of right lower leg, initial encounter
ICD10CM:Z46.0	Encounter for fitting and adjustment of spectacles and contact lenses		Encounter for fitting and adjustment of spectacles and contact lenses	Encounter for fitting and adjustment of spectacles and contact lenses
ICD10CM:E07.9	Disorder of thyroid, unspecified		Disorder of thyroid, unspecified	Disorder of thyroid, unspecified
ICD10CM:Z02.89	Encounter for other administrative examinations		Encounter for examination for admission to prison	Encounter for examination for admission to prison, Encounter for examination for admission to summer camp, Encounter for immigration examination, Encounter for naturalization examination, Encounter for other administrative examinations, Encounter for premarital examination
ICD10CM:L55.9	Sunburn, unspecified		Sunburn, unspecified	Sunburn, unspecified
ICD10CM:S82.891S	Other fracture of right lower leg, sequela		Other fracture of right lower leg, sequela	Other fracture of right lower leg, sequela
ICD10CM:M43.22	Fusion of spine, cervical region		Fusion of spine, cervical region	Fusion of spine, cervical region
ICD10CM:I73.00	Raynaud's syndrome without gangrene		Raynaud's syndrome without gangrene	Raynaud's syndrome without gangrene
ICD10CM:Z71.85	Encounter for immunization safety counseling		Encounter for immunization safety counseling	Encounter for immunization safety counseling, Encounter for vaccine product safety counseling
ICD10CM:S83.519A	Sprain of anterior cruciate ligament of unspecified knee, initial encounter		Sprain of anterior cruciate ligament of unspecified knee, initial encounter	Sprain of anterior cruciate ligament of unspecified knee, initial encounter
ICD10CM:Z63.79	Other stressful life events affecting family and household		Anxiety (normal) about sick person in family	Anxiety (normal) about sick person in family, Health problems within family, Ill or disturbed family member, Isolated family, Other stressful life events affecting family and household
ICD10CM:Z87.2	Personal history of diseases of the skin and subcutaneous tissue		Conditions classifiable to L00-L99	Conditions classifiable to L00-L99, Personal history of diseases of the skin and subcutaneous tissue
ICD10CM:G47.20	Circadian rhythm sleep disorder, unspecified type		Circadian rhythm sleep disorder, unspecified type	Circadian rhythm sleep disorder, unspecified type, Sleep wake schedule disorder NOS
ICD10CM:Z71.1	Person with feared health complaint in whom no diagnosis is made		'Worried well'	'Worried well', Person encountering health services in which problem was normal state, Person encountering health services with feared condition which was not demonstrated, Person with feared health complaint in whom no diagnosis is made
ICD10CM:K50.911	Crohn's disease, unspecified, with rectal bleeding		Crohn's disease, unspecified, with rectal bleeding	Crohn's disease, unspecified, with rectal bleeding
ICD10CM:D23.10	Other benign neoplasm of skin of unspecified eyelid, including canthus		Other benign neoplasm of skin of unspecified eyelid, including canthus	Other benign neoplasm of skin of unspecified eyelid, including canthus
ICD10CM:H65.21	Chronic serous otitis media, right ear		Chronic serous otitis media, right ear	Chronic serous otitis media, right ear
ICD10CM:I71.4	Abdominal aortic aneurysm, without rupture		Abdominal aortic aneurysm, without rupture	Abdominal aortic aneurysm, without rupture
ICD10CM:Z16.29	Resistance to other single specified antibiotic		Resistance to aminoglycosides	Resistance to aminoglycosides, Resistance to macrolides, Resistance to other single specified antibiotic, Resistance to sulfonamides, Resistance to tetracyclines
ICD10CM:S05.02XA	Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter		Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter	Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter
ICD10CM:L03.012	Cellulitis of left finger		Cellulitis of left finger	Cellulitis of left finger
ICD10CM:H04.221	Epiphora due to insufficient drainage, right side		Epiphora due to insufficient drainage, right side	Epiphora due to insufficient drainage, right side
ICD10CM:M84.375A	Stress fracture, left foot, initial encounter for fracture		Stress fracture, left foot, initial encounter for fracture	Stress fracture, left foot, initial encounter for fracture
ICD10CM:J34.3	Hypertrophy of nasal turbinates		Hypertrophy of nasal turbinates	Hypertrophy of nasal turbinates
ICD10CM:H54.3	Unqualified visual loss, both eyes		Unqualified visual loss, both eyes	Unqualified visual loss, both eyes, Visual impairment category 9 in both eyes.
ICD10CM:Q91.7	Trisomy 13, unspecified		Trisomy 13, unspecified	Trisomy 13, unspecified
ICD10CM:K14.8	Other diseases of tongue		Atrophy of tongue	Atrophy of tongue, Crenated tongue, Enlargement of tongue, Glossocele, Glossoptosis, Hypertrophy of tongue, Other diseases of tongue
ICD10CM:Z94.5	Skin transplant status		Autogenous skin transplant status	Autogenous skin transplant status, Skin transplant status
ICD10CM:H53.009	Unspecified amblyopia, unspecified eye		Unspecified amblyopia, unspecified eye	Unspecified amblyopia, unspecified eye
ICD10CM:K94.19	Other complications of enterostomy		Other complications of enterostomy	Other complications of enterostomy
ICD10CM:Z86.2	Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism		Conditions classifiable to D50-D89	Conditions classifiable to D50-D89, Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
ICD10CM:R23.3	Spontaneous ecchymoses		Petechiae	Petechiae, Spontaneous ecchymoses
ICD10CM:Z13.820	Encounter for screening for osteoporosis		Encounter for screening for osteoporosis	Encounter for screening for osteoporosis
ICD10CM:Q79.0	Congenital diaphragmatic hernia		Congenital diaphragmatic hernia	Congenital diaphragmatic hernia
ICD10CM:Z92.29	Personal history of other drug therapy		Personal history of other drug therapy	Personal history of other drug therapy
ICD10CM:T83.030A	Leakage of cystostomy catheter, initial encounter		Leakage of cystostomy catheter, initial encounter	Leakage of cystostomy catheter, initial encounter
ICD10CM:Z80.42	Family history of malignant neoplasm of prostate		Family history of malignant neoplasm of prostate	Family history of malignant neoplasm of prostate
ICD10CM:M54.16	Radiculopathy, lumbar region		Radiculopathy, lumbar region	Radiculopathy, lumbar region
ICD10CM:A02.9	Salmonella infection, unspecified		Salmonella infection, unspecified	Salmonella infection, unspecified
ICD10CM:M25.462	Effusion, left knee		Effusion, left knee	Effusion, left knee
ICD10CM:Z53.21	Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider		Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider	Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider
ICD10CM:M21.072	Valgus deformity, not elsewhere classified, left ankle		Valgus deformity, not elsewhere classified, left ankle	Valgus deformity, not elsewhere classified, left ankle
ICD10CM:A40.8	Other streptococcal sepsis		Other streptococcal sepsis	Other streptococcal sepsis
ICD10CM:A69.20	Lyme disease, unspecified		Lyme disease, unspecified	Lyme disease, unspecified
ICD10CM:R45.89	Other symptoms and signs involving emotional state		Other symptoms and signs involving emotional state	Other symptoms and signs involving emotional state
ICD10CM:H92.09	Otalgia, unspecified ear		Otalgia, unspecified ear	Otalgia, unspecified ear
ICD10CM:T85.598A	Other mechanical complication of other gastrointestinal prosthetic devices, implants and grafts, initial encounter		Other mechanical complication of other gastrointestinal prosthetic devices, implants and grafts, initial encounter	Other mechanical complication of other gastrointestinal prosthetic devices, implants and grafts, initial encounter
ICD10CM:S83.005A	Unspecified dislocation of left patella, initial encounter		Unspecified dislocation of left patella, initial encounter	Unspecified dislocation of left patella, initial encounter
ICD10CM:Q90.2	Trisomy 21, translocation		Trisomy 21, translocation	Trisomy 21, translocation
ICD10CM:R23.1	Pallor		Clammy skin	Clammy skin, Pallor
ICD10CM:M47.897	Other spondylosis, lumbosacral region		Other spondylosis, lumbosacral region	Other spondylosis, lumbosacral region
ICD10CM:N30.90	Cystitis, unspecified without hematuria		Cystitis, unspecified without hematuria	Cystitis, unspecified without hematuria
ICD10CM:I75.029	Atheroembolism of unspecified lower extremity		Atheroembolism of unspecified lower extremity	Atheroembolism of unspecified lower extremity
ICD10CM:I63.9	Cerebral infarction, unspecified		Cerebral infarction, unspecified	Cerebral infarction, unspecified, Stroke NOS
ICD10CM:R25.2	Cramp and spasm		Cramp and spasm	Cramp and spasm
ICD10CM:K92.0	Hematemesis		Hematemesis	Hematemesis
ICD10CM:R05.1	Acute cough		Acute cough	Acute cough
ICD10CM:Z87.76	Personal history of (corrected) congenital malformations of integument, limbs and musculoskeletal system		Personal history of (corrected) congenital malformations of integument, limbs and musculoskeletal system	Personal history of (corrected) congenital malformations of integument, limbs and musculoskeletal system
ICD10CM:Z80.3	Family history of malignant neoplasm of breast		Conditions classifiable to C50.-	Conditions classifiable to C50.-, Family history of malignant neoplasm of breast
ICD10CM:I82.4Y2	Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity		Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity	Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity
ICD10CM:J11.1	Influenza due to unidentified influenza virus with other respiratory manifestations		Influenza NOS	Influenza NOS, Influenza due to unidentified influenza virus with other respiratory manifestations, Influenza with upper respiratory symptoms NOS, Influenzal laryngitis NOS, Influenzal pharyngitis NOS
ICD10CM:J01.40	Acute pansinusitis, unspecified		Acute pansinusitis, unspecified	Acute pansinusitis, unspecified
ICD10CM:E11.00	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)		Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC), type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma
ICD10CM:M25.421	Effusion, right elbow		Effusion, right elbow	Effusion, right elbow
ICD10CM:A08.4	Viral intestinal infection, unspecified		Viral enteritis NOS	Viral enteritis NOS, Viral gastroenteritis NOS, Viral gastroenteropathy NOS, Viral intestinal infection, unspecified
ICD10CM:J34.2	Deviated nasal septum		Deflection or deviation of septum (nasal) (acquired)	Deflection or deviation of septum (nasal) (acquired), Deviated nasal septum, deflection or deviation of septum
ICD10CM:N30.01	Acute cystitis with hematuria		Acute cystitis with hematuria	Acute cystitis with hematuria
ICD10CM:I50.20	Unspecified systolic (congestive) heart failure		Unspecified systolic (congestive) heart failure	Unspecified systolic (congestive) heart failure
ICD10CM:Z71.2	Person consulting for explanation of examination or test findings		Person consulting for explanation of examination or test findings	Person consulting for explanation of examination or test findings
ICD10CM:M25.361	Other instability, right knee		Other instability, right knee	Other instability, right knee
ICD10CM:Q27.39	Arteriovenous malformation, other site		Arteriovenous malformation, other site	Arteriovenous malformation, other site
ICD10CM:Z96.82	Presence of neurostimulator		Presence of brain neurostimulator	Presence of brain neurostimulator, Presence of gastric neurostimulator, Presence of neurostimulator, Presence of peripheral nerve neurostimulator, Presence of sacral nerve neurostimulator, Presence of spinal cord neurostimulator, Presence of vagus nerve neurostimulator
ICD10CM:S83.412A	Sprain of medial collateral ligament of left knee, initial encounter		Sprain of medial collateral ligament of left knee, initial encounter	Sprain of medial collateral ligament of left knee, initial encounter
ICD10CM:H61.301	Acquired stenosis of right external ear canal, unspecified		Acquired stenosis of right external ear canal, unspecified	Acquired stenosis of right external ear canal, unspecified
ICD10CM:H50.43	Accommodative component in esotropia		Accommodative component in esotropia	Accommodative component in esotropia
ICD10CM:M41.84	Other forms of scoliosis, thoracic region		Other forms of scoliosis, thoracic region	Other forms of scoliosis, thoracic region
ICD10CM:M47.819	Spondylosis without myelopathy or radiculopathy, site unspecified		Spondylosis without myelopathy or radiculopathy, site unspecified	Spondylosis without myelopathy or radiculopathy, site unspecified
ICD10CM:L60.3	Nail dystrophy		Nail dystrophy	Nail dystrophy
ICD10CM:R10.32	Left lower quadrant pain		Left lower quadrant pain	Left lower quadrant pain
ICD10CM:G47.09	Other insomnia		Other insomnia	Other insomnia
ICD10CM:I82.C21	Chronic embolism and thrombosis of right internal jugular vein		Chronic embolism and thrombosis of right internal jugular vein	Chronic embolism and thrombosis of right internal jugular vein
ICD10CM:Z92.89	Personal history of other medical treatment		Personal history of other medical treatment	Personal history of other medical treatment
ICD10CM:H60.501	Unspecified acute noninfective otitis externa, right ear		Unspecified acute noninfective otitis externa, right ear	Unspecified acute noninfective otitis externa, right ear
ICD10CM:R12	Heartburn		Heartburn	Heartburn
ICD10CM:R51	Headache		Headache	Headache
ICD10CM:L56.8	Other specified acute skin changes due to ultraviolet radiation		Other specified acute skin changes due to ultraviolet radiation	Other specified acute skin changes due to ultraviolet radiation
ICD10CM:G90.9	Disorder of the autonomic nervous system, unspecified		Disorder of the autonomic nervous system, unspecified	Disorder of the autonomic nervous system, unspecified
ICD10CM:R35.8	Other polyuria		Other polyuria	Other polyuria
ICD10CM:D23.62	Other benign neoplasm of skin of left upper limb, including shoulder		Other benign neoplasm of skin of left upper limb, including shoulder	Other benign neoplasm of skin of left upper limb, including shoulder
ICD10CM:A41.52	Sepsis due to Pseudomonas		Pseudomonas aeroginosa	Pseudomonas aeroginosa, Sepsis due to Pseudomonas
ICD10CM:K58.0	Irritable bowel syndrome with diarrhea		Irritable bowel syndrome with diarrhea	Irritable bowel syndrome with diarrhea
ICD10CM:H25.013	Cortical age-related cataract, bilateral		Cortical age-related cataract, bilateral	Cortical age-related cataract, bilateral
ICD10CM:H90.11	Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side		Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side	Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side
ICD10CM:M41.25	Other idiopathic scoliosis, thoracolumbar region		Other idiopathic scoliosis, thoracolumbar region	Other idiopathic scoliosis, thoracolumbar region
ICD10CM:F06.30	Mood disorder due to known physiological condition, unspecified		Mood disorder due to known physiological condition, unspecified	Mood disorder due to known physiological condition, unspecified
ICD10CM:H65.23	Chronic serous otitis media, bilateral		Chronic serous otitis media, bilateral	Chronic serous otitis media, bilateral
ICD10CM:X58.XXXD	Exposure to other specified factors, subsequent encounter		Exposure to other specified factors, subsequent encounter	Exposure to other specified factors, subsequent encounter
ICD10CM:J18.1	Lobar pneumonia, unspecified organism		Lobar pneumonia, unspecified organism	Lobar pneumonia, unspecified organism
ICD10CM:Z85.828	Personal history of other malignant neoplasm of skin		Conditions classifiable to C44	Conditions classifiable to C44, Personal history of other malignant neoplasm of skin
ICD10CM:M24.669	Ankylosis, unspecified knee		Ankylosis, unspecified knee	Ankylosis, unspecified knee
ICD10CM:R06.2	Wheezing		Wheezing	Wheezing
ICD10CM:E83.51	Hypocalcemia		Hypocalcemia	Hypocalcemia
ICD10CM:B97.89	Other viral agents as the cause of diseases classified elsewhere		Other viral agents as the cause of diseases classified elsewhere	Other viral agents as the cause of diseases classified elsewhere
ICD10CM:I34.2	Nonrheumatic mitral (valve) stenosis		Nonrheumatic mitral (valve) stenosis	Nonrheumatic mitral (valve) stenosis
ICD10CM:T85.79XA	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, initial encounter		Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, initial encounter	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, initial encounter
ICD10CM:Z68.23	Body mass index [BMI] 23.0-23.9, adult		Body mass index [BMI] 23.0-23.9, adult	Body mass index [BMI] 23.0-23.9, adult
ICD10CM:Q38.8	Other congenital malformations of pharynx		Congenital malformation of pharynx NOS	Congenital malformation of pharynx NOS, Imperforate pharynx, Other congenital malformations of pharynx
ICD10CM:C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung		Lung cancer NOS	Lung cancer NOS, Malignant neoplasm of unspecified part of unspecified bronchus or lung
ICD10CM:Y92.410	Unspecified street and highway as the place of occurrence of the external cause		Road NOS as the place of occurrence of the external cause	Road NOS as the place of occurrence of the external cause, Unspecified street and highway as the place of occurrence of the external cause
ICD10CM:T82.898A	Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter		Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter	Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter
